코드,메뉴명
56756,흰밥
56767,오곡밥
56791,잡곡밥
56792,보리밥
56794,곤드레나물밥
56795,김밥
56796,오징어덮밥
56797,낙지덮밥
56798,김치볶음밥
56799,누룽지
56800,주먹밥
56801,비빔밥
56802,산채비빔밥
56803,새싹비빔밥
56804,돌솥비빔밥
56805,영양돌솥밥
56806,불고기덮밥
56807,돼지국밥
56808,소고기국밥
56809,순댓국밥
56810,콩나물국밥
56815,콩나물밥
56816,우거지사골국밥
56817,쌈밥
56818,제육덮밥
56819,제육비빔밥
56820,우렁된장비빔밥
56821,육회비빔밥
56822,회덮밥
56823,잡채덮밥
56824,삼계죽
56825,잣죽
56826,흑임자죽
56827,팥죽
56828,전복죽
56829,채소죽
56830,호박죽
56831,잔치국수
56832,비빔국수
56833,물냉면
56834,비빔냉면
56835,회냉면
56836,칼국수
56837,바지락칼국수
56838,수제비
56839,막국수
56840,쟁반국수
56841,콩국수
56842,만두
56843,근대된장국
56844,미역국
56845,콩나물국
56846,재첩국
56847,북엇국
56848,오이냉국
56849,떡국
56850,만둣국
56851,떡만둣국
56852,갈비탕
56853,우거지갈비탕
56854,곰탕
56855,설렁탕
56856,도가니탕
56857,감자탕
56858,육개장
56859,삼계탕
56860,민어매운탕
56861,대구맑은탕
56862,대구매운탕
56863,복맑은탕
56864,복매운탕
56865,해물탕
56866,꽃게탕
56867,알탕
56868,홍합탕
56869,추어탕
56870,김치찌개
56871,된장찌개
56872,부대찌개
56873,동태찌개
56874,순두부찌개
56875,청국장찌개
56876,신선로
56877,곱창전골
56878,국수전골
56879,김치전골
56880,두부전골
56881,만두전골
56882,버섯전골
56883,소고기전골
56884,불낙전골
56885,갈비찜
56886,닭백숙
56887,닭볶음탕
56888,계란찜
56889,묵은지찜
56890,보쌈
56891,양지머리
56892,족발
56893,순대
56894,아귀찜
56895,해물찜
56896,갈치조림
56897,고등어조림
56898,은대구조림
56899,장조림
56900,감자조림
56901,두부조림
56902,궁중떡볶이
56903,떡볶이
56904,낙지볶음
56905,오징어볶음
56906,제육볶음
56907,두부김치
56908,고등어구이
56909,곱창구이
56910,너비아니
56911,떡갈비
56912,불고기
56915,뚝배기불고기
56916,닭갈비
56917,삼겹살구이
56918,돼지갈비구이
56919,양념갈비
56920,소갈비구이
56921,소고기편채
56922,오리구이
56923,장어구이
56924,병어고추장구이
56925,새우구이
56926,더덕구이
56927,황태구이
56928,김구이
56929,김부각
56930,모둠전
56931,감자전
56932,김치전
56933,새우전·버섯전
56934,녹두전
56935,새송이버섯산적
56936,파전
56937,해물파전
56938,화양적
56939,메밀전병
56940,계란말이
56941,배추김치
56942,겉절이
56943,깍두기
56944,나박김치
56945,동치미
56946,백김치
56947,보쌈김치
56948,열무김치
56949,무생채
56950,오이소박이
56951,총각김치
56952,간장
56953,된장
56954,고추장
56955,약고추장
56956,간장게장
56957,양념게장
56958,마늘장아찌
56959,어리굴젓
56960,멸치젓
56961,새우젓
56962,잡채
56963,골뱅이무침
56964,도토리묵
56965,탕평채
56966,해파리냉채
56967,대하냉채
56968,나물_버섯나물·콩나물무침·시금치나물
56969,고사리나물·도라지나물
56970,오이선
56971,구절판
56972,죽순채
56973,광어회
56974,생선회
56975,모둠회
56976,홍어회무침
56977,회무침
56978,육회
56979,백설기
56980,경단
56981,송편
56982,꿀떡
56983,화전
56984,약식
56985,다식
56986,강정
56987,약과
56988,녹차
56989,매실차
56990,인삼차
56991,유자차
56992,수정과
56993,오미자화채
56994,식혜
